time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,-0.368,1.829,0.328,0.099,0.065,0.063,-0.004,162.788648,0
34,1.502,1.234,-1.24,-0.064,-0.049,-0.056,0.006,162.788648,0
68,1.361,0.232,0.853,0.06,0.066,0.049,0.003,162.788648,0
102,0.617,5.699,1.24,-0.071,0.032,-0.027,0.069,164.136043,0
136,0.4,0.342,3.783,-0.147,-0.144,-0.139,0.069,164.136043,0
170,1.858,-0.485,-3.103,0.019,0.057,0.04,0.046,164.136043,0
204,3.207,3.396,2.647,0.061,0.052,0.066,0.112,164.136043,0
238,0.714,1.136,2.374,-0.033,-0.147,-0.124,0.08,165.365273,0
272,3.152,1.794,-1.369,0.046,-0.01,0.048,0.077,165.365273,0
306,0.855,-0.474,3.407,0.117,0.11,0.083,0.112,165.365273,0
340,-0.305,3.673,-3.471,-0.114,0.091,-0.126,0.099,166.48688,0
374,5.123,8.621,0.556,0.009,-0.04,-0.024,0.097,166.48688,0
408,2.109,-0.086,2.824,0.054,-0.144,-0.063,0.093,166.48688,0
442,0.23,-3.055,4.366,0.077,0.005,0.177,0.065,167.510808,0
476,1.295,4.708,-1.957,-0.023,0.164,0.114,0.115,167.510808,0
510,2.229,0.85,2.183,-0.023,0.032,0.009,0.086,167.510808,0
544,3.141,-2.988,8.444,0.027,0.093,0.032,0.108,168.446425,0
578,7.733,3.361,0.923,-0.141,-0.037,-0.19,0.111,168.446425,0
612,6.071,-0.373,-3.794,0.038,-0.032,0.057,0.11,168.446425,0
646,0.672,1.315,0.358,0.077,0.045,0.056,-0.005,169.302543,0
680,0.434,2.125,6.884,-0.041,-0.101,-0.036,0.11,169.302543,0
714,4.22,4.12,-4.549,-0.002,0.068,0.015,0.105,169.302543,0
748,6.678,8.264,2.499,0.07,0.037,-0.004,0.14,169.302543,0
782,6.571,-0.433,-0.206,0.057,0.017,0.198,0.128,170.087442,0
816,2.253,6.407,3.493,-0.071,-0.077,-0.167,0.164,170.087442,0
850,1.372,3.107,3.028,-0.071,-0.158,-0.17,0.106,170.087442,0
884,3.717,7.338,5.629,0.16,0.308,0.404,0.088,170.808889,0
918,1.022,-0.894,3.388,-0.18,-0.17,-0.165,0.094,170.808889,0
952,4.842,8.355,-3.087,0.073,0.128,0.158,0.096,170.808889,0
986,6.933,1.365,-1.258,0.014,0.047,-0.088,0.092,171.474155,0
1020,9.506,0.332,-0.305,-0.026,-0.135,0.052,0.12,171.474155,0
1054,1.541,2.839,4.717,-0.058,0.189,0.037,0.091,171.474155,0
1088,0.219,-6.783,8.808,0.031,-0.073,0.178,0.251,172.090041,0
1122,-0.129,9.606,0.563,0.074,0.057,-0.13,0.133,172.090041,0
1156,6.639,-0.792,-5.996,-0.022,-0.123,-0.076,0.089,172.090041,0
1190,5.615,16.336,8.219,-0.058,-0.013,-0.023,0.158,172.090041,0
1224,1.55,-7.933,-2.073,0.029,-0.161,0.058,0.131,174.134325,0
1258,1.909,10.153,4.006,-0.007,0.103,0.02,0.12,174.134325,0
1292,3.052,1.519,4.336,-0.016,-0.037,0.071,0.107,174.134325,0
1326,-1.538,-7.682,-2.661,0.078,-0.084,0.091,0.113,175.21507,0
1360,2.833,12.293,6.678,-0.005,0.114,0.078,0.122,175.21507,0
1394,2.693,-4.869,0.721,0.001,0.1,0.078,0.097,175.21507,0
1428,2.914,12.329,0.68,0.006,-0.047,-0.152,0.098,176.295816,0
1462,-0.255,0.511,6.283,-0.031,-0.008,-0.105,0.152,176.295816,0
1496,-0.712,4.326,4.889,-0.068,-0.17,-0.067,0.099,176.295816,0
1530,3.318,9.36,0.555,0.153,-0.03,-0.017,0.229,177.376562,0
1564,-0.25,0.786,8.142,0.033,0.178,0.128,0.141,177.376562,0
1598,-0.047,4.324,7.538,0.037,-0.071,0.065,0.102,177.376562,0
1632,2.233,4.036,-0.728,-0.008,-0.017,-0.041,0.163,177.376562,0
1666,-0.456,2.145,3.434,-0.106,-0.242,-0.075,0.13,178.457307,0
1700,-2.666,2.514,0.27,-0.239,-0.13,-0.2,0.102,178.457307,0
1734,9.338,4.788,-1.386,0.056,-0.03,-0.025,0.1,178.457307,0
1768,-0.303,4.539,1.014,0.243,0.085,-0.032,0.123,179.538053,0
1802,1.765,1.834,12.077,0.065,-0.015,0.092,0.108,179.538053,0
1836,4.489,-0.655,0.713,0,-0.165,-0.156,0.109,179.538053,0
1870,0.011,-5.079,-3.257,-0.095,-0.011,-0.04,0.075,180.618799,0
1904,5.549,9.016,0.932,0.049,-0.016,-0.026,0.119,180.618799,0
1938,2.619,1.574,11.076,-0.033,0.089,0.139,0.089,180.618799,0
1972,0.831,-7.456,10.12,-0.017,-0.079,0.039,0.139,181.699544,0
2006,4.185,4.506,-1.578,-0.023,-0.002,-0.239,0.123,181.699544,0
2040,1.291,-4.95,-2.851,-0.16,-0.07,-0.154,0.108,181.699544,0
2074,8.699,7.718,1.509,-0.064,-0.054,-0.116,0.216,181.699544,0
2108,0.02,3.538,1.877,0.035,-0.085,-0.13,0.118,182.78029,0
2142,-2.62,-3.029,-4.483,0.007,0.09,0.012,0.111,182.78029,0
2176,7.599,4.97,2.418,0.208,0.04,0.037,0.102,182.78029,0
2210,6.197,14.382,3.571,-0.001,0.062,-0.165,0.114,183.617492,0
2244,2.419,-1.343,7.174,0.037,0.191,0.334,0.14,183.617492,0
2278,-1.046,6.841,6.468,-0.013,-0.019,0.091,0.096,183.617492,0
2312,2.105,-4.235,8.647,0.195,-0.01,0.279,0.098,184.454693,0
2346,-0.831,7.86,6.626,-0.017,-0.151,-0.07,0.126,184.454693,0
2380,5.879,0.477,-4.61,0.04,0.041,0.034,0.092,184.454693,0
2414,-0.205,7.587,0.816,0.236,-0.17,-0.316,0.115,185.291895,0
2448,4.179,5.065,12.713,-0.044,0.196,0.033,0.108,185.291895,0
2482,3.759,0.255,5.63,-0.169,-0.081,-0.158,0.086,185.291895,0
2516,-0.717,5.633,2.738,0.058,0.096,0.047,0.051,185.291895,0
2550,5.41,16.031,4.944,0.026,0.169,-0.021,0.098,186.129097,0
2584,4.626,0.196,12.84,0.174,0.014,0.154,0.095,186.129097,0
2618,2.938,2.932,3.035,0.161,-0.019,0.011,0.119,186.129097,0
2652,-0.573,2.898,-1.551,-0.128,0.015,-0.104,0.117,186.966298,0
2686,7.997,0.128,-4.017,0.156,0.027,0.092,0.112,186.966298,0
2720,7.593,14.212,8.062,-0.12,-0.022,0.023,0.099,186.966298,0
2754,3.721,4.708,-1.486,-0.116,-0.211,-0.201,0.107,187.8035,0
2788,7.328,15.638,13.451,-0.048,0.182,0.076,0.111,187.8035,0
2822,1.422,4.31,5.852,0.158,-0.014,0.088,0.095,187.8035,0
2856,0.13,0.271,5.841,-0.188,-0.314,-0.246,0.077,188.640702,0
2890,4.647,8.619,-0.558,0.029,0.255,-0.022,0.143,188.640702,0
2924,1.887,-1.908,-4.766,-0.06,0.029,-0.085,0.09,188.640702,0
2958,8.683,-3.272,-6.256,0.01,0.108,0,0.175,189.477904,0
2992,11.666,-1.384,-1.407,0.138,-0.108,0.068,0.098,189.477904,0
3026,1.262,1.171,1.48,-0.079,-0.072,-0.135,0.133,189.477904,0
3060,3.701,5.866,10.096,0.035,-0.023,-0.066,0.12,189.477904,0
3094,0.187,1.811,5.138,-0.095,-0.164,-0.199,0.115,190.315105,0
3128,-1.579,7.324,1.17,0.011,0.044,-0.027,0.104,190.315105,0
3162,8.053,3.661,-1.339,0.078,0.013,-0.095,0.086,190.315105,0
