Time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,-0.368,1.829,0.328,0.099,0.065,0.063,-0.004,162.788648,0
86,0.859,0.624,-0.606,0.021,0.025,0.035,-0.001,162.788648,0
172,3.457,5.704,-0.336,0.084,0.007,-0.004,0.04,164.136043,0
258,4.451,2.383,1.06,-0.042,0.004,-0.068,0.108,165.365273,0
344,0.328,-1.405,6.825,-0.004,-0.13,0.107,0.11,166.48688,0
430,3.279,3.309,-0.408,-0.1,-0.098,-0.229,0.178,167.510808,0
516,5.384,1.902,1.006,0.055,0.008,0.016,0.11,167.510808,0
602,1.485,-1.518,8.272,0.022,0.002,0.087,0.105,168.446425,0
688,0.926,8.814,-0.948,0.012,0.14,-0.013,0.139,169.302543,0
774,2.85,2.62,2.979,-0.066,-0.107,-0.158,0.11,170.087442,0
860,6.451,3.793,-0.302,0.023,-0.044,-0.126,0.17,170.087442,0
946,-0.976,-2.296,-2.371,-0.063,0.041,0.012,0.092,170.808889,0
1032,-3.388,3.774,-0.957,-0.028,0.116,-0.029,0.124,171.474155,0
1118,3.784,4.627,-1.913,0.013,-0.032,0.01,0.101,172.090041,0
1204,0.46,-7.153,-1.151,0.003,0.034,0.18,0.134,174.134325,0
1290,8.236,16.829,6.008,0.071,0.196,0.037,0.107,174.134325,0
1376,4.711,1.021,-2.265,-0.062,0.157,0.021,0.114,175.21507,0
1462,-0.255,0.511,6.283,-0.031,-0.008,-0.105,0.152,176.295816,0
1548,4.306,0.64,1.285,0.094,0.06,0.192,0.178,177.376562,0
1634,8.085,6.844,1.514,-0.071,0.048,-0.068,0.267,177.376562,0
1720,-1.506,-1.592,-3.916,-0.103,-0.087,-0.151,0.125,178.457307,0
1806,2.693,-6.11,-4.533,-0.043,-0.086,-0.054,0.106,179.538053,0
1892,0.265,10.852,4.762,-0.086,-0.048,-0.147,0.115,180.618799,0
1978,3.452,2.524,10.62,0.005,0.029,-0.049,0.081,181.699544,0
2064,-1.725,1.25,0.765,-0.119,-0.158,-0.139,0.12,181.699544,0
2150,4.715,-0.15,-2.287,0.005,0.037,-0.052,0.095,182.78029,0
2236,5.57,7.078,-2.307,0.059,0,0.067,0.11,183.617492,0
2322,9.405,-1.582,-2.44,0.025,0.037,0.11,0.11,184.454693,0
2408,5.584,22.648,8.905,0.015,0.186,-0.119,0.197,185.291895,0
2494,0.541,-0.974,7.39,0.203,0.057,0.115,0.095,185.291895,0
2580,5.326,8.064,-2.076,0.135,0.228,0.224,0.125,186.129097,0
2666,10.541,-2.128,-3.796,0.024,-0.08,0.095,0.115,186.966298,0
2752,5.086,3.008,-4.352,-0.058,0.067,-0.172,0.088,187.8035,0
