Time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,0.704,-0.387,-1.084,0.018,0.031,0.027,-0.004,198.892617,0
86,0.472,-7.401,0.497,-0.101,-0.206,-0.127,0.039,199.570815,0
172,1.437,-0.023,0.1,-0.007,-0.008,0.003,0.038,199.570815,0
258,1.034,3.897,1.363,-0.068,-0.088,-0.106,0.059,200.302867,0
344,2.457,8.832,-0.492,0.094,0.078,0.042,0.075,201.083652,0
430,2.02,-4.36,7.73,0.01,0.059,-0.02,0.078,202.250329,0
516,0.828,-7.186,0.732,-0.055,-0.018,-0.091,0.061,206.282766,0
602,9.831,4.046,3.054,0.013,-0.043,0.096,0.097,206.282766,0
688,-0.127,-3.17,-5.276,-0.009,0.015,0.039,0.083,209.976616,0
774,10.275,13.042,-0.311,0.009,0.059,0.098,0.104,213.351288,0
860,-0.09,-4.1,5.493,0.028,0.086,0.116,0.13,216.425391,0
946,7.48,1.969,-0.165,0.023,-0.026,0.051,0.206,219.216757,0
1032,-0.166,-2.878,1.801,0.119,0.119,0.063,0.114,219.216757,0
1118,-1.984,-2.904,8.167,-0.17,-0.146,-0.113,0.111,221.742468,0
1204,6.28,7.802,-1.056,-0.068,-0.042,-0.017,0.122,224.018874,0
1290,3.202,-1.848,8.357,-0.013,0.07,0.054,0.09,226.061624,0
1376,3.9,2.978,-0.543,-0.048,-0.032,-0.008,0.168,226.061624,0
1462,6.195,8.423,2.393,-0.102,-0.059,-0.078,0.136,227.88568,0
1548,9.262,3.695,1.535,0.041,0.081,0.105,0.16,229.505344,0
1634,7.023,7.289,-0.74,-0.058,-0.147,-0.13,0.157,230.934279,0
1720,7.524,-4.908,5.664,-0.01,-0.103,0.079,0.171,232.185527,0
1806,7.287,1.92,-2.5,0.083,0.15,0.112,0.132,232.185527,0
1892,10.39,4.353,-0.885,-0.09,-0.141,-0.094,0.122,233.27153,0
1978,8.013,-7.378,8.918,-0.015,-0.027,-0.097,0.138,234.204154,0
2064,15.92,4.286,-3.678,0.06,-0.03,0.052,0.14,234.994703,0
2150,10.999,6.075,3.919,-0.002,-0.099,-0.044,0.193,234.994703,0
2236,-0.056,-0.471,5.272,-0.082,-0.137,-0.099,0.116,235.653939,0
2322,3.099,-2.501,9.295,-0.097,-0.029,-0.132,0.159,236.192103,0
2408,8.439,-3.696,-1.58,-0.001,0.046,0.076,0.12,236.618931,0
2494,0.079,5.038,2.103,-0.061,-0.06,0.027,0.108,236.943672,0
2580,6.903,0.112,-2.309,-0.103,-0.085,-0.058,0.082,236.943672,0
2666,7.782,2.345,-2.061,0.064,0.043,0.076,0.106,237.175103,0
2752,5.352,0.768,7.381,0.097,0.005,0.093,0.127,237.32155,0
2838,0.442,-5.581,5.682,-0.102,0.009,0.04,0.119,237.390901,0
2924,2.517,1.439,-2.977,0.072,0.074,0.082,0.028,237.390901,0
3010,7.412,1.004,-4.773,-0.109,-0.06,-0.012,0.097,237.390901,0
3096,2.331,-4.861,-5.367,0.181,0.02,0.09,0.114,237.390901,0
3182,0.075,2.425,3.579,0.017,-0.052,0.061,0.152,237.390901,0
3268,3.95,-6.102,8.074,-0.152,0,0.01,0.087,237.390901,0
3354,-1.659,3.33,-2.586,-0.014,0.02,-0.039,0.105,237.390901,0
3440,0.765,-5.651,-5.217,-0.152,-0.049,-0.108,0.1,237.390901,0
3526,2.044,5.262,8.795,0.029,-0.102,0.004,0.132,237.390901,0
3612,6.887,8.124,-2.623,-0.095,-0.099,-0.112,0.135,237.390901,0
3698,4.463,19.294,-0.486,0.017,0.052,0.158,0.263,237.390901,0
3784,7.011,0.602,0.102,0.006,-0.005,0.011,0.12,237.390901,0
3870,4.467,9.7,-2.624,-0.054,0.006,-0.042,0.101,237.390901,0
3956,7.857,23.345,6.407,0.043,0.058,0.066,0.127,237.390901,0
4042,-1.398,0.725,0.861,-0.177,-0.107,-0.212,0.14,237.390901,0
4128,5.183,3.227,0.108,-0.018,0.006,-0.042,0.129,237.390901,0
4214,-2.978,0.904,-5.033,-0.108,-0.019,-0.072,0.112,237.390901,0
4300,3.269,7.008,-0.366,-0.015,-0.037,0.047,0.146,237.390901,0
